attendancePercentage,quizAverage,assignmentAverage,internalMarks,riskLevel
93,50,52,16,MEDIUM
93,89,88,27,LOW
91,91,87,28,LOW
68,67,76,21,MEDIUM
76,83,86,23,MEDIUM
73,74,75,22,MEDIUM
81,75,82,22,MEDIUM
47,50,44,14,HIGH
84,93,87,27,LOW
73,69,70,20,MEDIUM
94,95,89,27,LOW
89,88,88,26,LOW
93,94,100,29,LOW
40,47,41,13,HIGH
88,92,91,24,LOW
92,100,97,28,LOW
55,55,50,17,HIGH
93,95,99,30,LOW
93,50,50,16,MEDIUM
75,71,77,22,MEDIUM
83,75,67,19,MEDIUM
74,68,71,22,MEDIUM
88,88,96,27,LOW
51,57,59,20,HIGH
86,100,82,25,LOW
40,40,43,11,HIGH
71,63,77,20,MEDIUM
92,97,84,26,LOW
89,87,88,27,LOW
93,95,92,28,LOW
64,92,84,28,LOW
87,82,98,27,LOW
74,63,64,24,MEDIUM
48,43,45,16,HIGH
72,70,60,20,MEDIUM
79,87,85,26,LOW
86,100,85,26,LOW
72,74,71,22,MEDIUM
76,65,71,19,MEDIUM
90,95,85,27,LOW
43,48,43,12,HIGH
51,48,38,12,HIGH
91,96,99,29,LOW
68,80,81,21,MEDIUM
67,66,76,21,MEDIUM
75,81,83,21,MEDIUM
77,78,80,23,MEDIUM
76,60,72,19,MEDIUM
84,94,87,26,LOW
44,41,43,12,HIGH
95,89,88,28,LOW
73,75,78,21,MEDIUM
57,45,54,17,HIGH
80,69,66,19,MEDIUM
89,90,95,28,LOW
86,96,97,27,LOW
98,96,89,29,LOW
97,93,94,27,LOW
89,94,92,27,LOW
43,51,60,15,HIGH
72,77,70,23,MEDIUM
71,75,62,20,MEDIUM
78,74,61,21,MEDIUM
73,80,77,22,MEDIUM
61,59,62,20,MEDIUM
64,57,68,18,MEDIUM
76,74,72,23,MEDIUM
73,81,79,23,MEDIUM
68,62,72,20,MEDIUM
71,78,74,19,MEDIUM
91,89,80,28,LOW
45,52,47,16,HIGH
72,69,75,22,MEDIUM
85,82,84,24,LOW
81,68,73,22,MEDIUM
100,95,90,28,LOW
77,72,70,14,MEDIUM
66,60,66,22,MEDIUM
50,50,55,17,HIGH
74,85,73,20,MEDIUM
98,88,86,28,LOW
93,92,89,27,LOW
77,79,87,26,LOW
80,70,69,19,MEDIUM
74,63,65,20,MEDIUM
74,69,68,24,MEDIUM
97,85,100,29,LOW
53,52,57,16,HIGH
69,72,78,22,MEDIUM
52,59,44,17,HIGH
68,74,67,20,MEDIUM
89,90,90,28,LOW
82,75,83,22,MEDIUM
73,71,65,19,MEDIUM
73,63,78,21,MEDIUM
92,90,95,27,LOW
87,81,83,27,LOW
55,61,67,16,HIGH
78,84,85,25,LOW
68,75,74,21,MEDIUM
78,72,75,20,MEDIUM
45,59,49,13,HIGH
48,51,48,15,HIGH
75,86,74,23,MEDIUM
79,84,77,25,MEDIUM
94,91,100,28,LOW
79,84,88,25,LOW
87,76,85,23,MEDIUM
97,92,88,26,LOW
89,95,97,28,LOW
76,75,87,25,MEDIUM
71,74,61,21,MEDIUM
40,39,38,11,HIGH
98,95,88,28,LOW
50,56,45,16,HIGH
100,84,96,27,LOW
66,68,64,20,MEDIUM
93,46,47,16,MEDIUM
59,53,62,18,HIGH
89,72,82,25,LOW
86,84,95,26,LOW
45,50,50,15,HIGH
47,53,49,15,HIGH
85,84,86,26,LOW
95,91,91,29,LOW
78,73,66,22,MEDIUM
78,65,64,22,MEDIUM
88,98,94,28,LOW
78,79,92,28,LOW
50,45,49,14,HIGH
92,93,97,29,LOW
71,65,74,20,MEDIUM
91,89,87,27,LOW
94,97,94,28,LOW
73,76,71,22,MEDIUM
63,63,59,18,HIGH
50,58,49,16,HIGH
87,92,93,28,LOW
72,85,71,21,MEDIUM
89,81,100,27,LOW
65,74,68,20,MEDIUM
73,75,75,22,MEDIUM
85,90,91,27,LOW
43,56,57,15,HIGH
100,95,88,28,LOW
89,76,89,24,LOW
44,49,50,14,HIGH
95,92,94,27,LOW
93,90,92,28,LOW
65,70,65,19,MEDIUM
82,91,92,27,LOW
43,48,54,12,HIGH
78,65,65,18,MEDIUM
100,94,98,27,LOW
74,86,74,22,MEDIUM
79,68,69,21,MEDIUM
93,43,43,14,HIGH
85,84,87,26,LOW
90,96,94,28,LOW
71,69,64,19,MEDIUM
74,69,70,21,MEDIUM
78,63,63,23,MEDIUM
71,61,60,19,MEDIUM
89,90,87,27,LOW
74,79,65,21,MEDIUM
93,87,85,27,LOW
80,71,69,21,MEDIUM
95,94,89,28,LOW
71,78,76,24,MEDIUM
91,86,85,26,LOW
50,44,48,14,HIGH
74,89,84,25,MEDIUM
89,84,84,29,LOW
40,42,39,13,HIGH
89,92,96,27,LOW
75,76,76,22,MEDIUM
69,61,77,19,MEDIUM
98,94,95,28,LOW
68,75,78,22,MEDIUM
49,51,49,12,HIGH
88,94,95,27,LOW
87,77,79,25,LOW
90,95,92,29,LOW
78,76,79,22,MEDIUM
42,46,40,15,HIGH
87,90,91,26,LOW
51,43,47,15,HIGH
94,93,88,28,LOW
69,71,65,21,MEDIUM
44,42,45,13,HIGH
65,72,75,22,MEDIUM
77,76,72,20,MEDIUM
95,87,91,27,LOW
54,54,53,16,HIGH
82,92,91,27,LOW
80,91,79,25,LOW
91,100,90,27,LOW
75,64,72,21,MEDIUM
41,45,37,16,HIGH
43,37,46,14,HIGH
83,90,91,26,LOW
73,68,63,20,MEDIUM
83,69,75,20,MEDIUM
64,56,76,17,MEDIUM
48,40,50,14,HIGH
65,53,70,20,MEDIUM
57,56,61,17,HIGH
88,84,85,27,LOW
56,60,55,18,HIGH
73,61,74,20,MEDIUM
87,95,84,29,LOW
84,93,92,27,LOW
51,51,51,15,HIGH
92,85,90,25,LOW
87,89,94,26,LOW
65,61,77,19,MEDIUM
85,85,85,26,LOW
90,82,83,25,LOW
91,87,88,28,LOW
75,77,85,21,MEDIUM
65,59,63,17,HIGH
40,36,45,12,HIGH
93,92,100,27,LOW
80,87,79,25,LOW
91,97,93,28,LOW
95,98,100,29,LOW
66,56,68,19,MEDIUM
100,88,85,28,LOW
66,71,71,20,MEDIUM
87,89,85,25,LOW
95,82,88,27,LOW
49,46,50,14,HIGH
72,74,75,20,MEDIUM
54,60,53,15,HIGH
99,97,92,26,LOW
71,59,69,21,MEDIUM
84,69,74,19,MEDIUM
93,95,97,26,LOW
89,87,95,27,LOW
76,71,63,20,MEDIUM
75,70,67,19,MEDIUM
68,73,70,21,MEDIUM
82,73,68,17,MEDIUM
58,64,63,17,HIGH
70,68,78,23,MEDIUM
89,85,88,30,LOW
56,60,54,15,HIGH
91,99,88,30,LOW
72,71,65,21,MEDIUM
98,94,100,28,LOW
51,59,57,17,HIGH
71,81,66,22,MEDIUM
94,86,90,26,LOW
84,90,96,24,LOW
76,66,71,23,MEDIUM
79,61,69,21,MEDIUM
69,73,72,21,MEDIUM
87,87,83,27,LOW
77,76,79,24,MEDIUM
83,79,72,23,MEDIUM
52,40,54,16,HIGH
49,51,56,14,HIGH
94,90,88,30,LOW
55,46,48,16,HIGH
64,64,71,22,MEDIUM
54,62,62,17,HIGH
74,73,76,22,MEDIUM
70,60,76,20,MEDIUM
46,47,42,13,HIGH
63,64,70,21,MEDIUM
88,79,90,25,LOW
65,69,66,19,MEDIUM
43,27,38,13,HIGH
93,94,85,28,LOW
40,34,44,11,HIGH
86,80,86,23,LOW
99,94,100,29,LOW
92,86,100,29,LOW
69,74,75,24,MEDIUM
49,37,47,14,HIGH
73,63,70,22,MEDIUM
45,37,40,14,HIGH
91,91,85,24,LOW
100,96,89,29,LOW
93,95,94,27,LOW
65,80,66,22,MEDIUM
92,86,84,26,LOW
90,93,88,26,LOW
83,72,76,24,MEDIUM
60,64,56,18,HIGH
64,92,87,25,MEDIUM
79,66,70,18,MEDIUM
89,90,95,27,LOW
88,86,88,28,LOW
87,89,85,25,LOW
88,91,96,29,LOW
88,89,96,27,LOW
89,87,84,26,LOW
63,65,68,19,MEDIUM
93,92,96,27,LOW
65,87,89,26,MEDIUM
96,95,92,29,LOW
70,64,86,22,MEDIUM
95,90,86,28,LOW
84,87,93,28,LOW
92,97,97,28,LOW
86,90,86,27,LOW
46,51,41,14,HIGH
89,99,98,30,LOW
58,55,70,20,MEDIUM
86,84,84,25,LOW
80,71,73,22,MEDIUM
62,62,60,20,MEDIUM
90,83,89,24,LOW
55,56,57,17,HIGH
91,85,92,29,LOW
94,99,100,28,LOW
95,47,44,16,MEDIUM
86,82,83,27,LOW
72,76,71,23,MEDIUM
54,48,47,13,HIGH
93,85,92,27,LOW
49,48,49,14,HIGH
91,83,90,26,LOW
89,84,83,25,LOW
42,52,47,13,HIGH
73,61,79,22,MEDIUM
77,75,72,22,MEDIUM
54,53,62,17,HIGH
85,84,99,27,LOW
77,78,81,23,MEDIUM
80,70,75,20,MEDIUM
69,58,51,19,HIGH
53,39,53,18,HIGH
79,74,73,23,MEDIUM
83,87,78,27,LOW
46,53,42,13,HIGH
91,93,91,29,LOW
82,86,74,24,MEDIUM
89,100,91,28,LOW
64,56,69,18,MEDIUM
93,99,88,27,LOW
94,90,98,26,LOW
52,58,60,20,HIGH
86,90,90,25,LOW
81,70,62,22,MEDIUM
72,70,74,21,MEDIUM
97,93,91,27,LOW
45,45,36,11,HIGH
60,56,47,15,HIGH
95,95,85,26,LOW
94,91,92,26,LOW
87,91,89,29,LOW
89,93,91,28,LOW
73,73,74,20,MEDIUM
83,89,71,22,MEDIUM
90,81,79,26,LOW
79,65,71,21,MEDIUM
86,79,85,25,LOW
93,100,88,27,LOW
80,73,90,24,MEDIUM
89,83,90,28,LOW
93,81,85,26,LOW
51,54,54,16,HIGH
49,46,46,15,HIGH
88,87,93,29,LOW
96,92,91,28,LOW
94,94,80,28,LOW
96,94,93,26,LOW
86,89,97,27,LOW
74,83,73,24,MEDIUM
97,93,100,28,LOW
97,96,89,30,LOW
89,91,97,27,LOW
81,73,73,19,MEDIUM
89,93,91,28,LOW
80,64,66,20,MEDIUM
89,88,100,28,LOW
69,64,63,20,MEDIUM
69,74,73,21,MEDIUM
89,91,84,25,LOW
43,45,48,15,HIGH
75,84,87,25,MEDIUM
91,93,94,27,LOW
82,74,73,21,MEDIUM
80,84,77,24,MEDIUM
71,76,72,22,MEDIUM
40,42,36,12,HIGH
73,80,67,24,MEDIUM
74,80,83,22,MEDIUM
98,92,87,27,LOW
94,91,100,29,LOW
89,88,96,26,LOW
50,48,62,16,HIGH
87,90,92,26,LOW
89,80,85,25,LOW
71,78,77,23,MEDIUM
43,54,63,14,HIGH
98,91,93,27,LOW
52,55,50,14,HIGH
84,96,96,28,LOW
94,91,92,26,LOW
70,76,62,22,MEDIUM
98,93,83,25,LOW
81,81,85,26,LOW
89,93,85,28,LOW
93,98,96,27,LOW
98,100,92,28,LOW
87,89,81,27,LOW
51,45,62,16,HIGH
89,90,83,27,LOW
94,88,93,29,LOW
97,84,97,28,LOW
88,83,85,25,LOW
90,97,89,28,LOW
86,93,87,26,LOW
77,81,76,25,MEDIUM
95,90,100,27,LOW
93,89,92,28,LOW
86,89,87,27,LOW
70,77,72,22,MEDIUM
84,83,88,23,LOW
100,100,100,29,LOW
72,66,75,22,MEDIUM
92,92,87,25,LOW
73,64,62,22,MEDIUM
61,61,61,18,HIGH
62,67,57,18,HIGH
50,53,49,13,HIGH
50,51,52,15,HIGH
81,76,82,24,MEDIUM
51,53,59,15,HIGH
90,81,91,25,LOW
99,84,100,29,LOW
76,65,72,19,MEDIUM
89,87,96,28,LOW
88,90,93,27,LOW
56,54,63,15,HIGH
72,78,76,21,MEDIUM
63,62,66,19,MEDIUM
82,87,84,26,LOW
57,60,61,17,HIGH
100,98,100,29,LOW
90,93,94,26,LOW
98,90,94,29,LOW
55,68,61,18,HIGH
84,88,85,27,LOW
50,41,45,13,HIGH
71,80,82,22,MEDIUM
92,90,97,25,LOW
69,59,65,20,MEDIUM
69,73,65,21,MEDIUM
40,45,45,12,HIGH
93,84,92,27,LOW
63,52,56,16,HIGH
70,72,75,22,MEDIUM
69,66,73,20,MEDIUM
40,48,37,12,HIGH
94,93,93,30,LOW
93,82,87,26,LOW
87,92,92,27,LOW
56,54,61,14,HIGH
69,68,74,19,MEDIUM
76,77,73,21,MEDIUM
88,96,82,25,LOW
56,66,69,19,MEDIUM
74,64,69,21,MEDIUM
93,86,91,25,LOW
45,49,51,15,HIGH
86,95,95,26,LOW
91,92,95,28,LOW
73,68,74,23,MEDIUM
65,65,71,20,MEDIUM
54,53,46,16,HIGH
47,50,47,15,HIGH
58,74,54,19,MEDIUM
88,90,87,24,LOW
62,60,63,19,MEDIUM
70,71,67,21,MEDIUM
62,65,64,19,MEDIUM
47,51,37,14,HIGH
77,73,74,23,MEDIUM
90,80,98,26,LOW
82,76,86,23,MEDIUM
83,75,84,24,MEDIUM
90,94,89,26,LOW
94,80,83,26,LOW
91,85,87,25,LOW
70,73,79,19,MEDIUM
53,51,55,16,HIGH
74,67,77,21,MEDIUM
78,80,79,23,MEDIUM
77,78,78,23,MEDIUM
60,53,51,17,HIGH
88,70,83,23,MEDIUM
75,77,77,22,MEDIUM
87,89,92,27,LOW
45,53,51,14,HIGH
70,70,71,21,MEDIUM
40,48,40,14,HIGH
76,70,71,22,MEDIUM
92,94,88,27,LOW
51,57,46,17,HIGH
87,92,87,28,LOW
76,69,79,22,MEDIUM
98,96,89,28,LOW
69,73,76,21,MEDIUM
54,54,59,16,HIGH
40,46,41,13,HIGH
69,70,68,20,MEDIUM
94,99,90,29,LOW
91,82,88,29,LOW
83,80,73,24,MEDIUM
70,77,85,24,MEDIUM
81,88,75,23,MEDIUM
47,43,52,15,HIGH
71,78,72,24,MEDIUM
59,67,63,21,MEDIUM
78,74,68,24,MEDIUM
67,75,67,23,MEDIUM
94,89,94,29,LOW
59,74,68,18,MEDIUM
96,39,49,13,HIGH
84,85,89,27,LOW
88,91,89,27,LOW
66,70,75,21,MEDIUM
84,85,90,26,LOW
55,60,60,17,HIGH
62,70,65,20,MEDIUM
70,71,77,22,MEDIUM
91,98,100,29,LOW
52,58,53,18,HIGH
68,65,62,21,MEDIUM
68,71,74,23,MEDIUM
93,98,94,27,LOW
77,71,83,22,MEDIUM
68,69,73,21,MEDIUM
93,100,88,30,LOW
46,53,58,14,HIGH
92,100,92,27,LOW
66,76,69,20,MEDIUM
61,56,60,18,HIGH
75,72,83,23,MEDIUM
62,62,65,18,MEDIUM
80,81,72,22,MEDIUM
81,70,71,20,MEDIUM
79,85,86,24,MEDIUM
49,43,55,15,HIGH
91,96,96,26,LOW
40,48,49,14,HIGH
100,100,100,30,LOW
77,70,78,22,MEDIUM
81,73,71,17,MEDIUM
50,41,47,14,HIGH
65,91,90,28,LOW
93,97,83,28,LOW
94,93,100,28,LOW
95,90,100,27,LOW
98,99,97,30,LOW
49,48,51,16,HIGH
68,68,67,20,MEDIUM
90,84,77,25,LOW
90,83,86,27,LOW
88,94,91,27,LOW
76,68,77,23,MEDIUM
88,88,88,26,LOW
100,100,99,28,LOW
64,69,76,20,MEDIUM
94,98,87,30,LOW
94,94,100,27,LOW
75,74,64,22,MEDIUM
83,74,60,18,MEDIUM
75,74,77,23,MEDIUM
73,67,70,21,MEDIUM
71,72,71,21,MEDIUM
63,76,65,20,MEDIUM
77,81,84,26,LOW
95,97,87,28,LOW
73,88,84,24,MEDIUM
93,95,100,28,LOW
75,66,70,22,MEDIUM
87,98,93,26,LOW
60,65,63,18,HIGH
84,83,86,26,LOW
100,86,93,27,LOW
76,76,78,23,MEDIUM
97,91,95,29,LOW
84,89,95,27,LOW
77,83,78,20,MEDIUM
67,68,67,22,MEDIUM
60,46,58,16,HIGH
76,88,83,25,LOW
55,62,59,19,HIGH
89,93,98,27,LOW
91,78,91,27,LOW
57,45,57,16,HIGH
73,77,83,23,MEDIUM
79,84,84,23,MEDIUM
87,85,90,27,LOW
65,66,77,19,MEDIUM
68,65,63,20,MEDIUM
57,69,61,19,MEDIUM
70,77,77,23,MEDIUM
82,87,74,25,MEDIUM
56,56,53,16,HIGH
92,100,92,29,LOW
69,70,68,20,MEDIUM
89,91,94,27,LOW
60,71,75,20,MEDIUM
74,71,75,18,MEDIUM
90,91,82,29,LOW
82,87,88,24,LOW
81,79,83,25,MEDIUM
51,51,58,17,HIGH
75,67,64,20,MEDIUM
99,91,99,29,LOW
75,73,84,22,MEDIUM
52,56,58,16,HIGH
57,50,46,17,HIGH
80,77,75,23,MEDIUM
83,89,83,24,LOW
76,76,81,27,MEDIUM
98,95,94,26,LOW
70,79,77,21,MEDIUM
89,88,84,26,LOW
83,85,88,26,LOW
49,45,57,15,HIGH
65,69,69,21,MEDIUM
81,82,74,22,MEDIUM
84,96,96,28,LOW
57,51,52,17,HIGH
61,69,69,21,MEDIUM
70,69,63,22,MEDIUM
77,80,85,23,MEDIUM
61,52,54,16,HIGH
73,69,75,20,MEDIUM
82,61,68,19,MEDIUM
86,86,88,25,LOW
57,49,60,16,HIGH
93,100,100,29,LOW
74,67,78,22,MEDIUM
87,83,84,24,LOW
45,43,46,16,HIGH
52,52,48,17,HIGH
46,47,40,13,HIGH
72,61,67,20,MEDIUM
74,72,75,23,MEDIUM
85,89,90,28,LOW
76,80,70,23,MEDIUM
77,81,86,22,MEDIUM
91,91,83,26,LOW
76,75,76,24,MEDIUM
77,68,75,19,MEDIUM
66,56,57,18,HIGH
72,71,78,22,MEDIUM
54,52,52,16,HIGH
68,63,81,19,MEDIUM
78,77,86,23,MEDIUM
51,46,63,19,HIGH
84,83,78,27,LOW
40,46,38,12,HIGH
92,92,100,29,LOW
43,40,43,13,HIGH
77,72,92,22,MEDIUM
80,61,67,21,MEDIUM
100,96,100,30,LOW
93,83,88,25,LOW
57,53,55,16,HIGH
85,81,90,25,LOW
62,74,71,20,MEDIUM
84,96,94,27,LOW
81,87,89,27,LOW
88,89,92,25,LOW
91,85,84,25,LOW
72,69,68,18,MEDIUM
81,81,88,26,LOW
46,50,48,12,HIGH
91,95,91,25,LOW
77,69,67,20,MEDIUM
79,72,74,25,MEDIUM
55,50,55,15,HIGH
76,83,74,25,MEDIUM
70,67,70,21,MEDIUM
81,79,86,23,MEDIUM
79,64,63,21,MEDIUM
80,89,82,24,LOW
88,86,96,26,LOW
85,81,86,26,LOW
94,88,97,28,LOW
73,61,72,22,MEDIUM
88,91,83,27,LOW
90,85,90,24,LOW
61,89,92,27,MEDIUM
53,57,59,18,HIGH
80,85,81,25,LOW
86,85,94,26,LOW
66,59,63,19,MEDIUM
93,87,92,26,LOW
90,90,89,25,LOW
93,87,90,27,LOW
74,71,68,22,MEDIUM
90,93,86,27,LOW
58,52,49,16,HIGH
93,93,88,30,LOW
68,82,74,22,MEDIUM
60,93,85,27,MEDIUM
95,87,87,28,LOW
74,68,83,23,MEDIUM
53,54,54,13,HIGH
93,97,77,26,LOW
94,100,88,28,LOW
94,97,94,29,LOW
49,49,49,15,HIGH
88,85,91,25,LOW
62,55,61,20,HIGH
67,71,73,20,MEDIUM
97,95,87,26,LOW
57,67,73,21,MEDIUM
90,87,87,25,LOW
76,77,84,24,MEDIUM
80,82,86,23,MEDIUM
88,90,87,26,LOW
94,91,90,29,LOW
72,69,70,20,MEDIUM
63,59,62,21,MEDIUM
81,67,72,20,MEDIUM
79,74,77,26,MEDIUM
73,74,65,22,MEDIUM
69,62,65,18,MEDIUM
81,87,87,25,LOW
90,89,87,27,LOW
42,35,38,11,HIGH
87,95,82,27,LOW
81,76,89,24,MEDIUM
74,73,78,23,MEDIUM
82,85,96,27,LOW
72,77,87,24,MEDIUM
81,70,69,22,MEDIUM
53,39,49,14,HIGH
81,74,72,17,MEDIUM
91,90,93,28,LOW
91,100,86,28,LOW
71,68,72,23,MEDIUM
82,87,83,27,LOW
78,82,89,24,MEDIUM
87,85,81,23,LOW
90,90,99,27,LOW
95,88,91,29,LOW
100,94,96,29,LOW
85,94,93,25,LOW
78,72,71,21,MEDIUM
97,89,90,27,LOW
64,62,60,17,HIGH
61,78,69,23,MEDIUM
73,72,84,23,MEDIUM
72,62,72,21,MEDIUM
92,83,87,29,LOW
48,45,39,14,HIGH
80,83,81,25,MEDIUM
92,95,98,29,LOW
99,86,97,28,LOW
80,72,68,21,MEDIUM
85,78,82,26,LOW
87,80,85,24,LOW
73,66,71,22,MEDIUM
79,82,80,25,MEDIUM
84,89,87,26,LOW
45,41,41,10,HIGH
91,86,95,28,LOW
63,76,76,19,MEDIUM
64,70,72,22,MEDIUM
67,79,68,20,MEDIUM
90,84,92,27,LOW
79,71,71,24,MEDIUM
87,89,82,27,LOW
70,79,68,24,MEDIUM
94,80,90,29,LOW
43,39,36,12,HIGH
86,67,65,16,MEDIUM
46,48,48,14,HIGH
79,64,68,21,MEDIUM
74,79,74,22,MEDIUM
93,99,99,29,LOW
96,90,98,29,LOW
83,82,81,26,LOW
89,84,87,26,LOW
54,61,60,16,HIGH
76,76,64,22,MEDIUM
79,73,72,22,MEDIUM
87,87,84,28,LOW
68,50,68,22,MEDIUM
51,39,37,14,HIGH
96,92,100,28,LOW
82,83,85,26,LOW
74,77,72,25,MEDIUM
92,90,93,26,LOW
78,73,67,23,MEDIUM
87,88,82,24,LOW
75,68,71,23,MEDIUM
78,79,80,24,MEDIUM
73,71,75,22,MEDIUM
87,96,92,25,LOW
63,64,78,19,MEDIUM
90,88,89,28,LOW
86,84,94,27,LOW
70,69,72,22,MEDIUM
71,62,68,22,MEDIUM
56,50,58,15,HIGH
80,74,80,23,MEDIUM
90,93,98,27,LOW
90,96,82,28,LOW
75,74,79,23,MEDIUM
96,95,90,29,LOW
94,92,85,27,LOW
90,89,78,26,LOW
67,79,65,21,MEDIUM
64,59,52,18,HIGH
82,76,80,23,MEDIUM
79,68,68,19,MEDIUM
48,47,47,16,HIGH
50,58,45,14,HIGH
59,56,53,16,HIGH
96,78,90,29,LOW
90,93,91,29,LOW
86,75,93,28,LOW
78,81,83,25,MEDIUM
41,43,45,12,HIGH
81,100,95,27,LOW
86,96,89,27,LOW
93,87,100,28,LOW
67,77,71,21,MEDIUM
90,87,87,27,LOW
77,77,78,23,MEDIUM
92,96,87,28,LOW
78,72,75,22,MEDIUM
71,68,77,18,MEDIUM
98,89,100,30,LOW
54,44,46,15,HIGH
58,56,70,18,HIGH
73,72,72,22,MEDIUM
46,45,49,14,HIGH
67,69,75,20,MEDIUM
89,91,88,28,LOW
69,72,70,22,MEDIUM
70,69,67,21,MEDIUM
83,82,85,25,LOW
79,71,68,23,MEDIUM
44,37,45,12,HIGH
86,93,92,28,LOW
88,95,91,29,LOW
73,74,69,22,MEDIUM
66,67,74,21,MEDIUM
64,53,72,19,MEDIUM
75,65,74,20,MEDIUM
78,70,83,22,MEDIUM
92,92,89,26,LOW
91,98,93,29,LOW
52,50,60,15,HIGH
42,44,39,12,HIGH
45,52,43,12,HIGH
42,42,41,12,HIGH
40,43,50,14,HIGH
76,74,74,22,MEDIUM
71,65,79,22,MEDIUM
89,86,90,27,LOW
88,91,88,26,LOW
87,81,85,25,LOW
77,74,82,23,MEDIUM
68,76,77,22,MEDIUM
81,81,90,27,LOW
72,77,79,23,MEDIUM
81,75,83,23,MEDIUM
55,49,54,16,HIGH
78,67,65,18,MEDIUM
44,37,46,14,HIGH
80,72,75,21,MEDIUM
96,83,87,28,LOW
91,89,86,25,LOW
89,89,90,27,LOW
77,74,65,23,MEDIUM
70,87,79,24,MEDIUM
78,72,68,18,MEDIUM
91,91,89,27,LOW
72,67,72,21,MEDIUM
86,81,86,25,LOW
100,98,94,30,LOW
89,85,97,28,LOW
95,93,99,28,LOW
100,95,89,27,LOW
91,89,92,28,LOW
78,75,85,22,MEDIUM
55,86,90,28,MEDIUM
79,81,79,24,MEDIUM
77,75,74,22,MEDIUM
76,78,74,25,MEDIUM
81,70,72,25,MEDIUM
69,61,70,21,MEDIUM
52,47,49,17,HIGH
78,66,66,19,MEDIUM
91,92,85,25,LOW
77,72,82,20,MEDIUM
89,90,98,26,LOW
89,87,84,26,LOW
71,66,70,20,MEDIUM
68,75,72,21,MEDIUM
93,84,100,29,LOW
92,98,93,27,LOW
75,84,80,22,MEDIUM
91,91,94,29,LOW
44,49,46,13,HIGH
92,93,90,30,LOW
64,63,60,19,MEDIUM
84,89,91,26,LOW
94,92,91,28,LOW
94,100,97,27,LOW
78,86,70,22,MEDIUM
71,72,72,21,MEDIUM
96,84,89,25,LOW
94,92,99,28,LOW
87,88,93,27,LOW
82,95,84,27,LOW
72,67,70,21,MEDIUM
58,63,60,18,HIGH
77,68,77,20,MEDIUM
71,72,74,22,MEDIUM
76,65,67,22,MEDIUM
42,41,39,15,HIGH
93,100,93,28,LOW
83,69,67,20,MEDIUM
81,64,76,21,MEDIUM
98,92,96,28,LOW
82,66,71,21,MEDIUM
78,75,83,26,MEDIUM
93,97,92,28,LOW
54,51,50,16,HIGH
58,61,72,20,MEDIUM
57,53,61,15,HIGH
51,50,52,15,HIGH
74,82,75,22,MEDIUM
95,87,88,28,LOW
77,69,74,23,MEDIUM
80,71,68,21,MEDIUM
96,96,86,30,LOW
95,87,99,25,LOW
73,67,74,23,MEDIUM
67,63,74,21,MEDIUM
73,59,70,20,MEDIUM
86,91,93,26,LOW
94,98,92,25,LOW
91,78,89,25,LOW
98,86,89,29,LOW
87,88,88,27,LOW
66,67,73,19,MEDIUM
88,85,95,27,LOW
93,90,95,30,LOW
67,69,75,21,MEDIUM
80,79,79,22,MEDIUM
93,86,93,27,LOW
61,66,57,19,HIGH
58,49,51,18,HIGH
80,76,71,20,MEDIUM
98,90,91,28,LOW
100,99,100,29,LOW
80,84,78,21,MEDIUM
83,92,95,29,LOW
75,75,78,22,MEDIUM
75,78,66,20,MEDIUM
78,75,75,16,MEDIUM
76,70,70,20,MEDIUM
91,89,93,26,LOW
80,72,79,24,MEDIUM
67,76,81,23,MEDIUM
61,70,62,21,MEDIUM
94,86,92,27,LOW
85,97,95,29,LOW
40,29,36,11,HIGH
88,84,82,26,LOW
82,71,84,25,MEDIUM
92,96,100,27,LOW
84,86,96,28,LOW
85,99,85,26,LOW
79,72,72,17,MEDIUM
90,98,100,28,LOW
78,76,72,21,MEDIUM
81,88,89,26,LOW
82,87,86,25,LOW
93,100,99,27,LOW
68,75,76,23,MEDIUM
76,76,83,23,MEDIUM
92,96,100,29,LOW
52,49,56,17,HIGH
40,48,46,13,HIGH
78,70,82,21,MEDIUM
77,72,66,22,MEDIUM
86,85,97,28,LOW
88,100,80,27,LOW
86,82,87,26,LOW
85,74,79,24,MEDIUM
73,76,74,23,MEDIUM
71,85,82,23,MEDIUM
77,75,82,25,MEDIUM
52,52,44,16,HIGH
79,70,71,19,MEDIUM
79,70,63,20,MEDIUM
88,87,77,25,LOW
73,64,75,20,MEDIUM
99,90,99,25,LOW
96,98,90,27,LOW
73,71,83,22,MEDIUM
88,93,100,30,LOW
99,96,96,29,LOW
74,59,76,20,MEDIUM
82,94,89,25,LOW
69,71,72,22,MEDIUM
68,65,79,22,MEDIUM
88,97,78,26,LOW
67,68,66,21,MEDIUM
92,97,90,27,LOW
78,77,73,20,MEDIUM
67,67,77,20,MEDIUM
80,68,65,23,MEDIUM
81,67,63,23,MEDIUM
96,100,100,28,LOW
53,39,55,16,HIGH
100,100,97,30,LOW
86,100,86,28,LOW
80,80,81,23,MEDIUM
96,98,98,26,LOW
91,92,100,27,LOW
81,75,76,23,MEDIUM
85,82,89,24,LOW
67,71,70,21,MEDIUM
78,84,84,26,LOW
92,91,90,27,LOW
93,91,88,29,LOW
86,92,88,26,LOW
69,72,69,21,MEDIUM
77,85,97,27,LOW
93,98,94,27,LOW
56,64,68,19,MEDIUM
93,93,84,28,LOW
86,93,89,28,LOW
58,90,91,26,MEDIUM
